id_tweet;tweet
1054399548326584322;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054399578932424704;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054399645978370055;b'@PrinceRoyce @JBALVIN manifestantes de alegr\xc3\xada y amor pa la cultura \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc #Brooklyn #VibrasTour song: Sensualidad https://t.co/UDwQe9MMks'
1054399753373532160;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054401188886704128;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054401278959345664;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054401421431455744;b'RT @Anuel_2bleA: \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96 https://t.co/bBZP5cK60x'
1054401533914148864;b"RT @BRITs: Big congrats to @LiamPayne and @JBALVIN as 'Familiar' is now a #BRITcertified Gold selling single! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x93\x80 https://t.co/uluBNa4a3S"
1054401887540260864;b'Ahora s\xc3\xad! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1054401918506844160;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054402297722216448;b'1 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402313161531395;b'RT @barclayscenter: Panas \xf0\x9f\xa4\x99\n\n@JBALVIN x @Anuel_2bleA \n\n#VibrasTour \xf0\x9f\xa6\x96 https://t.co/MB3MAiPf9F'
1054402326981763073;b'2 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402406409220099;b'3 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402422339223552;b'RT @La_familia_La: \xc2\xa1Acomp\xc3\xa1\xc3\xb1ame con el Presidente @BarackObama,  y el invitado musical especial @JBALVIN para un rally en Las Vegas este lun\xe2\x80\xa6'
1054402491847241728;b'4 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402519504510977;b'5 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402569039167489;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054402596423688192;b'RT @YvannaCancela: It\xe2\x80\x99s day 3 of early voting in Nevada. @BarackObama is here today with @JBALVIN! Don\xe2\x80\x99t have tickets? Click here: https://\xe2\x80\xa6'
1054402668318416896;b'@nvdems @BarackObama @JBALVIN @AmericaFerrera @TheSaltNPepa When they go low we go vote. @MichelleObama'
1054403022795800578;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054403060750053377;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054403334109626369;b'@shelovsdemi @nagoray @pandlernews ooh jbalvin mija aqui'
1054403568525041665;b'#KarolG is atomic \xf0\x9f\x92\xa5 More than once have I experienced #JBalvin bring on stage all my favorites \xe2\x9d\xa4\xef\xb8\x8f this weekend I fl\xe2\x80\xa6 https://t.co/iQgNi5Nx4D'
1054403764810080256;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054403910146932741;b'#NowPlaying I Like It ft Bad Bunny &amp, JBalvin - Cardi B On https://t.co/bnrGeb34V1'
1054403928337604608;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054404114518548481;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054404293715931136;b'RT @grisyhbalvin: Me reporto a marat\xc3\xb3n #Maraton por @JBALVIN desde Mexico @Vale_LaFamilia @PrediNyNjFamili @JBalvinMexFc @JBalvinMtyMexFC'
1054404453586079744;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054404460925992960;b'RT @grisyhbalvin: Me reporto a marat\xc3\xb3n #MaratonPCA por @JBALVIN desde Mexico @Vale_LaFamilia @PrediNyNjFamili @JBalvinMexFc @JBalvinMtyMexFC'
1054404604551720961;b'JBalvin Willy William feat.Beyonce - Mi Gente-remix\n\nLISTEN LIVE!!!\nhttps://t.co/QAIaS5e077'
1054404611526799361;b'Hola @exatv pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
